merchant_id,merchant_name,category,country,risk_category,created_at
MER_00112,Mittal-Yohannan,food,IN,low,2024-11-12T10:11:33
MER_00113,Dugal Group,entertainment,IN,low,2024-10-28T05:23:57
MER_00114,"Merchant, Sarin and Krish",travel,IN,low,2023-09-17T23:24:01
MER_00115,"Puri, Raman and Toor",healthcare,IN,low,2026-06-30T22:21:45
MER_00116,"Dugal, Iyengar and Mistry",healthcare,IN,medium,2025-01-06T02:11:52
MER_00117,"Pillay, Sarraf and Bumb",travel,IN,low,2025-09-22T20:50:12
MER_00118,Merchant and Sons,utilities,IN,medium,2025-05-10T11:20:19
MER_00119,Madan-Subramanian,utilities,IN,low,2026-02-12T15:52:19
MER_00120,Prashad-Dhillon,education,IN,low,2023-12-30T13:30:54
MER_00121,Ganesan Inc,entertainment,IN,medium,2025-04-28T19:25:15
MER_00122,"Dutt, Saini and Varughese",shopping,IN,low,2023-11-09T21:13:51
MER_00123,"Kala, Ramaswamy and Nath",healthcare,IN,low,2024-11-30T00:54:14
MER_00124,"Chadha, Edwin and Radhakrishnan",shopping,IN,low,2026-07-20T03:29:30
MER_00125,Manda-Narayanan,education,IN,low,2024-07-05T23:21:37
MER_00126,Jha-Mishra,entertainment,IN,low,2024-10-03T00:34:19
MER_00127,Choudhry-Dua,entertainment,IN,low,2024-12-12T11:39:36
MER_00128,"Patla, Verma and Bahri",utilities,IN,low,2025-10-27T20:36:48
MER_00129,Singhal Group,education,IN,low,2024-09-06T23:35:25
MER_00130,"Shere, Deol and Jayaraman",education,IN,low,2024-11-16T04:25:40
MER_00131,Grover-Rau,entertainment,IN,low,2025-09-05T21:38:36
MER_00132,Ravi LLC,entertainment,IN,low,2026-05-30T06:39:38
MER_00133,Soman-Nadig,education,IN,low,2026-07-18T11:16:32
MER_00134,Hari-Rastogi,food,IN,low,2023-10-06T06:25:19
MER_00135,Sarma-Virk,education,IN,low,2025-09-06T14:10:20
MER_00136,Tara PLC,travel,IN,low,2024-02-28T09:02:58
MER_00137,"Salvi, Goyal and Chacko",education,IN,low,2024-07-21T01:18:27
MER_00138,Banerjee Ltd,entertainment,IN,low,2025-04-24T13:08:19
MER_00139,Sundaram Ltd,healthcare,IN,medium,2024-09-18T18:06:50
MER_00140,Thaker-Sunder,utilities,IN,low,2026-01-05T09:51:48
MER_00141,Saini-Chadha,entertainment,IN,medium,2025-11-11T03:48:58
MER_00142,Mangal-Mangat,healthcare,IN,low,2025-02-03T23:19:20
MER_00143,Mannan-Banerjee,grocery,IN,low,2024-07-15T20:06:41
MER_00144,Thakur and Sons,utilities,IN,low,2026-06-06T08:44:46
MER_00145,Tiwari-Nadkarni,healthcare,IN,high,2026-06-01T13:10:21
MER_00146,Bora-Bhatt,entertainment,IN,low,2024-11-19T00:57:33
MER_00147,Bail Group,food,IN,low,2024-06-20T09:51:54
MER_00148,Batra PLC,entertainment,IN,low,2024-02-27T11:22:48
MER_00149,"Ghose, Buch and Garg",travel,IN,low,2025-11-01T02:11:50
MER_00150,Dugal PLC,healthcare,IN,low,2025-01-09T16:29:09
MER_00151,Bawa-Kohli,utilities,IN,medium,2024-04-05T07:39:58
MER_00152,Pal Group,education,IN,low,2026-04-27T19:07:08
MER_00153,"Guha, Gara and Apte",shopping,IN,medium,2025-05-22T17:33:41
MER_00154,Naidu-Lad,food,IN,low,2025-10-22T21:19:15
MER_00155,"Roy, Ratti and Acharya",grocery,IN,medium,2026-07-01T14:57:34
MER_00156,"Varghese, Nanda and Gandhi",utilities,IN,low,2025-02-13T23:04:56
MER_00157,"Choudhary, Narayan and Roy",travel,IN,low,2023-08-30T20:16:03
MER_00158,Narula Inc,shopping,IN,low,2024-07-21T10:01:58
MER_00159,Prasad-Dhillon,education,IN,low,2025-01-23T14:15:14
MER_00160,Mohanty LLC,shopping,IN,low,2024-10-11T00:01:27
MER_00161,Chawla-Bhardwaj,shopping,IN,low,2026-08-05T23:43:39
MER_00162,Gade Inc,grocery,IN,medium,2025-08-18T12:52:43
MER_00163,Murty-Sehgal,shopping,IN,low,2024-04-23T07:58:36
MER_00164,Palan Inc,utilities,IN,low,2024-07-13T20:45:50
MER_00165,Dyal-Anne,healthcare,IN,low,2026-02-25T18:07:44
MER_00166,Bhasin-Shankar,education,IN,low,2025-05-16T02:15:47
MER_00167,Dua Group,shopping,IN,low,2025-08-10T03:35:46
MER_00168,Sangha and Sons,healthcare,IN,low,2023-10-20T10:02:41
MER_00169,Chaudhuri LLC,shopping,IN,medium,2025-06-23T12:11:52
MER_00170,Chopra-Mahajan,travel,IN,low,2026-06-26T00:15:03
MER_00171,Sampath-Vaidya,education,IN,medium,2025-01-26T23:32:57
MER_00172,"Thaker, Dass and Narain",travel,IN,medium,2023-12-30T00:45:09
MER_00173,Rau-Bawa,healthcare,IN,medium,2026-01-18T06:28:48
MER_00174,Balay and Sons,food,IN,low,2024-11-24T02:06:14
MER_00175,"Chander, Sood and Bedi",shopping,IN,medium,2024-07-03T06:23:32
MER_00176,Oza-Desai,grocery,IN,low,2024-09-19T12:20:59
MER_00177,"Loke, Tandon and Varma",entertainment,IN,low,2024-11-24T22:43:45
MER_00178,Deshmukh-Toor,education,IN,low,2024-08-12T11:27:39
MER_00179,Patel-Goda,healthcare,IN,low,2026-04-06T11:49:39
MER_00180,Deep LLC,education,IN,low,2024-04-18T17:01:52
MER_00181,Salvi-Choudhary,shopping,IN,low,2024-09-04T01:55:19
MER_00182,Mutti-Kaul,shopping,IN,low,2024-03-28T04:06:54
MER_00183,Bali PLC,healthcare,IN,medium,2026-01-18T18:08:49
MER_00184,Gara Group,education,IN,medium,2026-06-05T06:46:18
MER_00185,"Issac, Manne and Kuruvilla",food,IN,low,2026-01-03T10:07:08
MER_00186,Rau-Yohannan,healthcare,IN,low,2024-08-25T00:34:52
MER_00187,Mitra-Banerjee,education,IN,low,2024-06-26T00:19:53
MER_00188,Goel-Sarin,utilities,IN,low,2024-02-15T04:43:15
MER_00189,Cheema LLC,food,IN,low,2024-02-07T10:50:28
MER_00190,Mander LLC,shopping,IN,low,2025-10-05T00:48:57
MER_00191,Virk Inc,travel,IN,low,2025-05-27T16:36:38
MER_00192,"Comar, Ramesh and Dave",shopping,IN,low,2024-12-14T06:09:14
MER_00193,"Chand, Bobal and Padmanabhan",entertainment,IN,medium,2025-12-14T21:57:47
MER_00194,Maharaj-Seth,travel,IN,medium,2023-12-13T14:58:41
MER_00195,Oza-Kakar,utilities,IN,medium,2025-10-05T11:03:58
MER_00196,Mohanty-Master,utilities,IN,low,2024-01-10T02:33:58
MER_00197,"Hans, Radhakrishnan and Nori",food,IN,medium,2025-01-02T05:08:26
MER_00198,Vala-Barad,shopping,IN,medium,2025-05-15T01:54:25
MER_00199,Khalsa PLC,travel,IN,low,2024-10-24T18:46:06
MER_00200,"Misra, Sani and Brar",shopping,IN,low,2023-09-04T17:26:52
